OFFICE / BALLOT ISSUE,PARTY,COUNTY,CANDIDATE / BALLOT ISSUE TITLE,YES VOTES,YES PERCENT,NO VOTES,NO PERCENT
President/Vice President,American Delta Party,JACKSON,Rocky Roque De La Fuente / Michael Steinberg,0,0.00%,,
President/Vice President,American Delta Party,JEFFERSON,Rocky Roque De La Fuente / Michael Steinberg,132,0.00%,,
President/Vice President,American Delta Party,KIOWA,Rocky Roque De La Fuente / Michael Steinberg,0,0.00%,,
President/Vice President,American Delta Party,KIT CARSON,Rocky Roque De La Fuente / Michael Steinberg,1,0.00%,,
President/Vice President,American Delta Party,LAKE,Rocky Roque De La Fuente / Michael Steinberg,0,0.00%,,
President/Vice President,American Delta Party,LA PLATA,Rocky Roque De La Fuente / Michael Steinberg,11,0.00%,,
President/Vice President,American Delta Party,LARIMER,Rocky Roque De La Fuente / Michael Steinberg,83,0.00%,,
President/Vice President,American Delta Party,LAS ANIMAS,Rocky Roque De La Fuente / Michael Steinberg,5,0.00%,,
President/Vice President,American Delta Party,LINCOLN,Rocky Roque De La Fuente / Michael Steinberg,2,0.00%,,
President/Vice President,American Delta Party,LOGAN,Rocky Roque De La Fuente / Michael Steinberg,5,0.00%,,
President/Vice President,American Delta Party,MESA,Rocky Roque De La Fuente / Michael Steinberg,34,0.00%,,
President/Vice President,American Delta Party,MINERAL,Rocky Roque De La Fuente / Michael Steinberg,0,0.00%,,
President/Vice President,American Delta Party,MOFFAT,Rocky Roque De La Fuente / Michael Steinberg,0,0.00%,,
President/Vice President,American Delta Party,MONTEZUMA,Rocky Roque De La Fuente / Michael Steinberg,7,0.00%,,
President/Vice President,American Delta Party,MONTROSE,Rocky Roque De La Fuente / Michael Steinberg,11,0.00%,,
President/Vice President,American Delta Party,MORGAN,Rocky Roque De La Fuente / Michael Steinberg,6,0.00%,,
President/Vice President,American Delta Party,OTERO,Rocky Roque De La Fuente / Michael Steinberg,12,0.00%,,
President/Vice President,American Delta Party,OURAY,Rocky Roque De La Fuente / Michael Steinberg,0,0.00%,,
President/Vice President,American Delta Party,PARK,Rocky Roque De La Fuente / Michael Steinberg,3,0.00%,,
President/Vice President,American Delta Party,PHILLIPS,Rocky Roque De La Fuente / Michael Steinberg,0,0.00%,,
President/Vice President,American Delta Party,PITKIN,Rocky Roque De La Fuente / Michael Steinberg,2,0.00%,,
President/Vice President,American Delta Party,PROWERS,Rocky Roque De La Fuente / Michael Steinberg,2,0.00%,,
President/Vice President,American Delta Party,PUEBLO,Rocky Roque De La Fuente / Michael Steinberg,93,0.00%,,
President/Vice President,American Delta Party,RIO BLANCO,Rocky Roque De La Fuente / Michael Steinberg,1,0.00%,,
President/Vice President,American Delta Party,RIO GRANDE,Rocky Roque De La Fuente / Michael Steinberg,8,0.00%,,
President/Vice President,American Delta Party,ROUTT,Rocky Roque De La Fuente / Michael Steinberg,5,0.00%,,
President/Vice President,American Delta Party,SAGUACHE,Rocky Roque De La Fuente / Michael Steinberg,4,0.00%,,
President/Vice President,American Delta Party,SAN JUAN,Rocky Roque De La Fuente / Michael Steinberg,0,0.00%,,
President/Vice President,American Delta Party,SAN MIGUEL,Rocky Roque De La Fuente / Michael Steinberg,0,0.00%,,
President/Vice President,American Delta Party,SEDGWICK,Rocky Roque De La Fuente / Michael Steinberg,1,0.00%,,
President/Vice President,American Delta Party,SUMMIT,Rocky Roque De La Fuente / Michael Steinberg,9,0.00%,,
President/Vice President,American Delta Party,TELLER,Rocky Roque De La Fuente / Michael Steinberg,0,0.00%,,
President/Vice President,American Delta Party,WASHINGTON,Rocky Roque De La Fuente / Michael Steinberg,2,0.00%,,
President/Vice President,American Delta Party,WELD,Rocky Roque De La Fuente / Michael Steinberg,90,0.00%,,
President/Vice President,American Delta Party,YUMA,Rocky Roque De La Fuente / Michael Steinberg,2,0.00%,,
President/Vice President,American Delta Party,,Rocky Roque De La Fuente / Michael Steinberg TOTAL,"1,255",0.05%,,
President/Vice President,Prohibition Party,ADAMS,James Hedges / Bill Bayes,19,0.00%,,
President/Vice President,Prohibition Party,ALAMOSA,James Hedges / Bill Bayes,1,0.00%,,
President/Vice President,Prohibition Party,ARAPAHOE,James Hedges / Bill Bayes,18,0.00%,,
President/Vice President,Prohibition Party,ARCHULETA,James Hedges / Bill Bayes,0,0.00%,,
President/Vice President,Prohibition Party,BACA,James Hedges / Bill Bayes,0,0.00%,,
President/Vice President,Prohibition Party,BENT,James Hedges / Bill Bayes,1,0.00%,,
President/Vice President,Prohibition Party,BOULDER,James Hedges / Bill Bayes,6,0.00%,,
President/Vice President,Prohibition Party,BROOMFIELD,James Hedges / Bill Bayes,2,0.00%,,
President/Vice President,Prohibition Party,CHAFFEE,James Hedges / Bill Bayes,1,0.00%,,
President/Vice President,Prohibition Party,CHEYENNE,James Hedges / Bill Bayes,0,0.00%,,
President/Vice President,Prohibition Party,CLEAR CREEK,James Hedges / Bill Bayes,0,0.00%,,
President/Vice President,Prohibition Party,CONEJOS,James Hedges / Bill Bayes,0,0.00%,,
President/Vice President,Prohibition Party,COSTILLA,James Hedges / Bill Bayes,0,0.00%,,
President/Vice President,Prohibition Party,CROWLEY,James Hedges / Bill Bayes,0,0.00%,,
President/Vice President,Prohibition Party,CUSTER,James Hedges / Bill Bayes,1,0.00%,,
President/Vice President,Prohibition Party,DELTA,James Hedges / Bill Bayes,3,0.00%,,
President/Vice President,Prohibition Party,DENVER,James Hedges / Bill Bayes,20,0.00%,,
President/Vice President,Prohibition Party,DOLORES,James Hedges / Bill Bayes,1,0.00%,,
President/Vice President,Prohibition Party,DOUGLAS,James Hedges / Bill Bayes,7,0.00%,,
President/Vice President,Prohibition Party,EAGLE,James Hedges / Bill Bayes,0,0.00%,,
President/Vice President,Prohibition Party,ELBERT,James Hedges / Bill Bayes,2,0.00%,,
President/Vice President,Prohibition Party,EL PASO,James Hedges / Bill Bayes,20,0.00%,,
President/Vice President,Prohibition Party,FREMONT,James Hedges / Bill Bayes,1,0.00%,,
President/Vice President,Prohibition Party,GARFIELD,James Hedges / Bill Bayes,1,0.00%,,
President/Vice President,Prohibition Party,GILPIN,James Hedges / Bill Bayes,0,0.00%,,
President/Vice President,Prohibition Party,GRAND,James Hedges / Bill Bayes,0,0.00%,,
President/Vice President,Prohibition Party,GUNNISON,James Hedges / Bill Bayes,0,0.00%,,
President/Vice President,Prohibition Party,HINSDALE,James Hedges / Bill Bayes,0,0.00%,,
President/Vice President,Prohibition Party,HUERFANO,James Hedges / Bill Bayes,1,0.00%,,
President/Vice President,Prohibition Party,JACKSON,James Hedges / Bill Bayes,0,0.00%,,
President/Vice President,Prohibition Party,JEFFERSON,James Hedges / Bill Bayes,22,0.00%,,
President/Vice President,Prohibition Party,KIOWA,James Hedges / Bill Bayes,0,0.00%,,
President/Vice President,Prohibition Party,KIT CARSON,James Hedges / Bill Bayes,0,0.00%,,
President/Vice President,Prohibition Party,LAKE,James Hedges / Bill Bayes,1,0.00%,,
President/Vice President,Prohibition Party,LA PLATA,James Hedges / Bill Bayes,1,0.00%,,
President/Vice President,Prohibition Party,LARIMER,James Hedges / Bill Bayes,16,0.00%,,
President/Vice President,Prohibition Party,LAS ANIMAS,James Hedges / Bill Bayes,1,0.00%,,
President/Vice President,Prohibition Party,LINCOLN,James Hedges / Bill Bayes,0,0.00%,,
President/Vice President,Prohibition Party,LOGAN,James Hedges / Bill Bayes,1,0.00%,,
President/Vice President,Prohibition Party,MESA,James Hedges / Bill Bayes,9,0.00%,,
President/Vice President,Prohibition Party,MINERAL,James Hedges / Bill Bayes,0,0.00%,,
President/Vice President,Prohibition Party,MOFFAT,James Hedges / Bill Bayes,0,0.00%,,
President/Vice President,Prohibition Party,MONTEZUMA,James Hedges / Bill Bayes,0,0.00%,,
President/Vice President,Prohibition Party,MONTROSE,James Hedges / Bill Bayes,2,0.00%,,
President/Vice President,Prohibition Party,MORGAN,James Hedges / Bill Bayes,2,0.00%,,
President/Vice President,Prohibition Party,OTERO,James Hedges / Bill Bayes,0,0.00%,,
President/Vice President,Prohibition Party,OURAY,James Hedges / Bill Bayes,1,0.00%,,
President/Vice President,Prohibition Party,PARK,James Hedges / Bill Bayes,0,0.00%,,
President/Vice President,Prohibition Party,PHILLIPS,James Hedges / Bill Bayes,0,0.00%,,
President/Vice President,Prohibition Party,PITKIN,James Hedges / Bill Bayes,1,0.00%,,
President/Vice President,Prohibition Party,PROWERS,James Hedges / Bill Bayes,1,0.00%,,
President/Vice President,Prohibition Party,PUEBLO,James Hedges / Bill Bayes,10,0.00%,,
President/Vice President,Prohibition Party,RIO BLANCO,James Hedges / Bill Bayes,0,0.00%,,
President/Vice President,Prohibition Party,RIO GRANDE,James Hedges / Bill Bayes,0,0.00%,,
President/Vice President,Prohibition Party,ROUTT,James Hedges / Bill Bayes,3,0.00%,,
President/Vice President,Prohibition Party,SAGUACHE,James Hedges / Bill Bayes,0,0.00%,,
President/Vice President,Prohibition Party,SAN JUAN,James Hedges / Bill Bayes,0,0.00%,,
President/Vice President,Prohibition Party,SAN MIGUEL,James Hedges / Bill Bayes,0,0.00%,,
President/Vice President,Prohibition Party,SEDGWICK,James Hedges / Bill Bayes,0,0.00%,,
President/Vice President,Prohibition Party,SUMMIT,James Hedges / Bill Bayes,0,0.00%,,
President/Vice President,Prohibition Party,TELLER,James Hedges / Bill Bayes,0,0.00%,,
President/Vice President,Prohibition Party,WASHINGTON,James Hedges / Bill Bayes,0,0.00%,,
President/Vice President,Prohibition Party,WELD,James Hedges / Bill Bayes,9,0.00%,,
President/Vice President,Prohibition Party,YUMA,James Hedges / Bill Bayes,0,0.00%,,
President/Vice President,Prohibition Party,,James Hedges / Bill Bayes TOTAL,185,0.01%,,
President/Vice President,America's Party,ADAMS,Tom Hoefling / Steve Schulin,69,0.00%,,
President/Vice President,America's Party,ALAMOSA,Tom Hoefling / Steve Schulin,5,0.00%,,
President/Vice President,America's Party,ARAPAHOE,Tom Hoefling / Steve Schulin,88,0.00%,,
President/Vice President,America's Party,ARCHULETA,Tom Hoefling / Steve Schulin,0,0.00%,,
President/Vice President,America's Party,BACA,Tom Hoefling / Steve Schulin,0,0.00%,,
President/Vice President,America's Party,BENT,Tom Hoefling / Steve Schulin,0,0.00%,,
President/Vice President,America's Party,BOULDER,Tom Hoefling / Steve Schulin,18,0.00%,,
President/Vice President,America's Party,BROOMFIELD,Tom Hoefling / Steve Schulin,6,0.00%,,
President/Vice President,America's Party,CHAFFEE,Tom Hoefling / Steve Schulin,4,0.00%,,
President/Vice President,America's Party,CHEYENNE,Tom Hoefling / Steve Schulin,0,0.00%,,
President/Vice President,America's Party,CLEAR CREEK,Tom Hoefling / Steve Schulin,1,0.00%,,
President/Vice President,America's Party,CONEJOS,Tom Hoefling / Steve Schulin,0,0.00%,,
President/Vice President,America's Party,COSTILLA,Tom Hoefling / Steve Schulin,0,0.00%,,
President/Vice President,America's Party,CROWLEY,Tom Hoefling / Steve Schulin,0,0.00%,,
President/Vice President,America's Party,CUSTER,Tom Hoefling / Steve Schulin,0,0.00%,,
President/Vice President,America's Party,DELTA,Tom Hoefling / Steve Schulin,3,0.00%,,
President/Vice President,America's Party,DENVER,Tom Hoefling / Steve Schulin,75,0.00%,,
President/Vice President,America's Party,DOLORES,Tom Hoefling / Steve Schulin,1,0.00%,,
President/Vice President,America's Party,DOUGLAS,Tom Hoefling / Steve Schulin,37,0.00%,,
President/Vice President,America's Party,EAGLE,Tom Hoefling / Steve Schulin,4,0.00%,,
President/Vice President,America's Party,ELBERT,Tom Hoefling / Steve Schulin,4,0.00%,,
President/Vice President,America's Party,EL PASO,Tom Hoefling / Steve Schulin,92,0.00%,,
President/Vice President,America's Party,FREMONT,Tom Hoefling / Steve Schulin,7,0.00%,,
President/Vice President,America's Party,GARFIELD,Tom Hoefling / Steve Schulin,7,0.00%,,
President/Vice President,America's Party,GILPIN,Tom Hoefling / Steve Schulin,0,0.00%,,
President/Vice President,America's Party,GRAND,Tom Hoefling / Steve Schulin,4,0.00%,,
President/Vice President,America's Party,GUNNISON,Tom Hoefling / Steve Schulin,0,0.00%,,
President/Vice President,America's Party,HINSDALE,Tom Hoefling / Steve Schulin,1,0.00%,,
President/Vice President,America's Party,HUERFANO,Tom Hoefling / Steve Schulin,1,0.00%,,
President/Vice President,America's Party,JACKSON,Tom Hoefling / Steve Schulin,1,0.00%,,
President/Vice President,America's Party,JEFFERSON,Tom Hoefling / Steve Schulin,94,0.00%,,
President/Vice President,America's Party,KIOWA,Tom Hoefling / Steve Schulin,0,0.00%,,
President/Vice President,America's Party,KIT CARSON,Tom Hoefling / Steve Schulin,1,0.00%,,
President/Vice President,America's Party,LAKE,Tom Hoefling / Steve Schulin,0,0.00%,,
President/Vice President,America's Party,LA PLATA,Tom Hoefling / Steve Schulin,7,0.00%,,
President/Vice President,America's Party,LARIMER,Tom Hoefling / Steve Schulin,27,0.00%,,
President/Vice President,America's Party,LAS ANIMAS,Tom Hoefling / Steve Schulin,4,0.00%,,
President/Vice President,America's Party,LINCOLN,Tom Hoefling / Steve Schulin,3,0.00%,,
President/Vice President,America's Party,LOGAN,Tom Hoefling / Steve Schulin,5,0.00%,,
President/Vice President,America's Party,MESA,Tom Hoefling / Steve Schulin,25,0.00%,,
President/Vice President,America's Party,MINERAL,Tom Hoefling / Steve Schulin,0,0.00%,,
President/Vice President,America's Party,MOFFAT,Tom Hoefling / Steve Schulin,6,0.00%,,
President/Vice President,America's Party,MONTEZUMA,Tom Hoefling / Steve Schulin,1,0.00%,,
President/Vice President,America's Party,MONTROSE,Tom Hoefling / Steve Schulin,3,0.00%,,
President/Vice President,America's Party,MORGAN,Tom Hoefling / Steve Schulin,0,0.00%,,
President/Vice President,America's Party,OTERO,Tom Hoefling / Steve Schulin,7,0.00%,,
President/Vice President,America's Party,OURAY,Tom Hoefling / Steve Schulin,0,0.00%,,
President/Vice President,America's Party,PARK,Tom Hoefling / Steve Schulin,3,0.00%,,
President/Vice President,America's Party,PHILLIPS,Tom Hoefling / Steve Schulin,0,0.00%,,
President/Vice President,America's Party,PITKIN,Tom Hoefling / Steve Schulin,1,0.00%,,
President/Vice President,America's Party,PROWERS,Tom Hoefling / Steve Schulin,3,0.00%,,
President/Vice President,America's Party,PUEBLO,Tom Hoefling / Steve Schulin,35,0.00%,,
President/Vice President,America's Party,RIO BLANCO,Tom Hoefling / Steve Schulin,0,0.00%,,
President/Vice President,America's Party,RIO GRANDE,Tom Hoefling / Steve Schulin,0,0.00%,,
President/Vice President,America's Party,ROUTT,Tom Hoefling / Steve Schulin,0,0.00%,,
President/Vice President,America's Party,SAGUACHE,Tom Hoefling / Steve Schulin,0,0.00%,,
President/Vice President,America's Party,SAN JUAN,Tom Hoefling / Steve Schulin,0,0.00%,,
President/Vice President,America's Party,SAN MIGUEL,Tom Hoefling / Steve Schulin,0,0.00%,,
President/Vice President,America's Party,SEDGWICK,Tom Hoefling / Steve Schulin,0,0.00%,,
President/Vice President,America's Party,SUMMIT,Tom Hoefling / Steve Schulin,3,0.00%,,
President/Vice President,America's Party,TELLER,Tom Hoefling / Steve Schulin,1,0.00%,,
President/Vice President,America's Party,WASHINGTON,Tom Hoefling / Steve Schulin,1,0.00%,,
President/Vice President,America's Party,WELD,Tom Hoefling / Steve Schulin,52,0.00%,,
President/Vice President,America's Party,YUMA,Tom Hoefling / Steve Schulin,0,0.00%,,
President/Vice President,America's Party,,Tom Hoefling / Steve Schulin TOTAL,710,0.03%,,
President/Vice President,Veterans Party of America,ADAMS,Chris Keniston / Deacon Taylor,593,0.02%,,
President/Vice President,Veterans Party of America,ALAMOSA,Chris Keniston / Deacon Taylor,23,0.00%,,
President/Vice President,Veterans Party of America,ARAPAHOE,Chris Keniston / Deacon Taylor,594,0.02%,,
President/Vice President,Veterans Party of America,ARCHULETA,Chris Keniston / Deacon Taylor,17,0.00%,,
President/Vice President,Veterans Party of America,BACA,Chris Keniston / Deacon Taylor,3,0.00%,,
President/Vice President,Veterans Party of America,BENT,Chris Keniston / Deacon Taylor,13,0.00%,,
President/Vice President,Veterans Party of America,BOULDER,Chris Keniston / Deacon Taylor,197,0.01%,,
President/Vice President,Veterans Party of America,BROOMFIELD,Chris Keniston / Deacon Taylor,70,0.00%,,
President/Vice President,Veterans Party of America,CHAFFEE,Chris Keniston / Deacon Taylor,23,0.00%,,
President/Vice President,Veterans Party of America,CHEYENNE,Chris Keniston / Deacon Taylor,2,0.00%,,
President/Vice President,Veterans Party of America,CLEAR CREEK,Chris Keniston / Deacon Taylor,10,0.00%,,
President/Vice President,Veterans Party of America,CONEJOS,Chris Keniston / Deacon Taylor,4,0.00%,,
President/Vice President,Veterans Party of America,COSTILLA,Chris Keniston / Deacon Taylor,6,0.00%,,
President/Vice President,Veterans Party of America,CROWLEY,Chris Keniston / Deacon Taylor,5,0.00%,,
President/Vice President,Veterans Party of America,CUSTER,Chris Keniston / Deacon Taylor,4,0.00%,,
President/Vice President,Veterans Party of America,DELTA,Chris Keniston / Deacon Taylor,24,0.00%,,
President/Vice President,Veterans Party of America,DENVER,Chris Keniston / Deacon Taylor,290,0.01%,,
President/Vice President,Veterans Party of America,DOLORES,Chris Keniston / Deacon Taylor,2,0.00%,,
President/Vice President,Veterans Party of America,DOUGLAS,Chris Keniston / Deacon Taylor,253,0.01%,,
President/Vice President,Veterans Party of America,EAGLE,Chris Keniston / Deacon Taylor,30,0.00%,,
President/Vice President,Veterans Party of America,ELBERT,Chris Keniston / Deacon Taylor,33,0.00%,,
President/Vice President,Veterans Party of America,EL PASO,Chris Keniston / Deacon Taylor,724,0.03%,,
President/Vice President,Veterans Party of America,FREMONT,Chris Keniston / Deacon Taylor,56,0.00%,,
President/Vice President,Veterans Party of America,GARFIELD,Chris Keniston / Deacon Taylor,41,0.00%,,
President/Vice President,Veterans Party of America,GILPIN,Chris Keniston / Deacon Taylor,12,0.00%,,
President/Vice President,Veterans Party of America,GRAND,Chris Keniston / Deacon Taylor,15,0.00%,,
President/Vice President,Veterans Party of America,GUNNISON,Chris Keniston / Deacon Taylor,9,0.00%,,
President/Vice President,Veterans Party of America,HINSDALE,Chris Keniston / Deacon Taylor,1,0.00%,,
President/Vice President,Veterans Party of America,HUERFANO,Chris Keniston / Deacon Taylor,10,0.00%,,
President/Vice President,Veterans Party of America,JACKSON,Chris Keniston / Deacon Taylor,1,0.00%,,
President/Vice President,Veterans Party of America,JEFFERSON,Chris Keniston / Deacon Taylor,588,0.02%,,
President/Vice President,Veterans Party of America,KIOWA,Chris Keniston / Deacon Taylor,0,0.00%,,
President/Vice President,Veterans Party of America,KIT CARSON,Chris Keniston / Deacon Taylor,13,0.00%,,
President/Vice President,Veterans Party of America,LAKE,Chris Keniston / Deacon Taylor,6,0.00%,,
President/Vice President,Veterans Party of America,LA PLATA,Chris Keniston / Deacon Taylor,38,0.00%,,
President/Vice President,Veterans Party of America,LARIMER,Chris Keniston / Deacon Taylor,334,0.01%,,
President/Vice President,Veterans Party of America,LAS ANIMAS,Chris Keniston / Deacon Taylor,23,0.00%,,
President/Vice President,Veterans Party of America,LINCOLN,Chris Keniston / Deacon Taylor,6,0.00%,,
President/Vice President,Veterans Party of America,LOGAN,Chris Keniston / Deacon Taylor,25,0.00%,,
President/Vice President,Veterans Party of America,MESA,Chris Keniston / Deacon Taylor,169,0.01%,,
President/Vice President,Veterans Party of America,MINERAL,Chris Keniston / Deacon Taylor,4,0.00%,,
President/Vice President,Veterans Party of America,MOFFAT,Chris Keniston / Deacon Taylor,13,0.00%,,
President/Vice President,Veterans Party of America,MONTEZUMA,Chris Keniston / Deacon Taylor,26,0.00%,,
President/Vice President,Veterans Party of America,MONTROSE,Chris Keniston / Deacon Taylor,33,0.00%,,
President/Vice President,Veterans Party of America,MORGAN,Chris Keniston / Deacon Taylor,30,0.00%,,
President/Vice President,Veterans Party of America,OTERO,Chris Keniston / Deacon Taylor,34,0.00%,,
President/Vice President,Veterans Party of America,OURAY,Chris Keniston / Deacon Taylor,3,0.00%,,
President/Vice President,Veterans Party of America,PARK,Chris Keniston / Deacon Taylor,22,0.00%,,
President/Vice President,Veterans Party of America,PHILLIPS,Chris Keniston / Deacon Taylor,4,0.00%,,
President/Vice President,Veterans Party of America,PITKIN,Chris Keniston / Deacon Taylor,8,0.00%,,
President/Vice President,Veterans Party of America,PROWERS,Chris Keniston / Deacon Taylor,10,0.00%,,
President/Vice President,Veterans Party of America,PUEBLO,Chris Keniston / Deacon Taylor,134,0.00%,,
President/Vice President,Veterans Party of America,RIO BLANCO,Chris Keniston / Deacon Taylor,6,0.00%,,
President/Vice President,Veterans Party of America,RIO GRANDE,Chris Keniston / Deacon Taylor,21,0.00%,,
President/Vice President,Veterans Party of America,ROUTT,Chris Keniston / Deacon Taylor,14,0.00%,,
President/Vice President,Veterans Party of America,SAGUACHE,Chris Keniston / Deacon Taylor,7,0.00%,,
President/Vice President,Veterans Party of America,SAN JUAN,Chris Keniston / Deacon Taylor,0,0.00%,,
President/Vice President,Veterans Party of America,SAN MIGUEL,Chris Keniston / Deacon Taylor,2,0.00%,,
President/Vice President,Veterans Party of America,SEDGWICK,Chris Keniston / Deacon Taylor,6,0.00%,,
President/Vice President,Veterans Party of America,SUMMIT,Chris Keniston / Deacon Taylor,8,0.00%,,
President/Vice President,Veterans Party of America,TELLER,Chris Keniston / Deacon Taylor,26,0.00%,,
President/Vice President,Veterans Party of America,WASHINGTON,Chris Keniston / Deacon Taylor,6,0.00%,,
President/Vice President,Veterans Party of America,WELD,Chris Keniston / Deacon Taylor,332,0.01%,,
President/Vice President,Veterans Party of America,YUMA,Chris Keniston / Deacon Taylor,12,0.00%,,
President/Vice President,Veterans Party of America,,Chris Keniston / Deacon Taylor TOTAL,"5,028",0.18%,,
President/Vice President,Socialist Workers Party,ADAMS,Alyson Kennedy / Osborne Hart,42,0.00%,,
President/Vice President,Socialist Workers Party,ALAMOSA,Alyson Kennedy / Osborne Hart,5,0.00%,,
President/Vice President,Socialist Workers Party,ARAPAHOE,Alyson Kennedy / Osborne Hart,37,0.00%,,
President/Vice President,Socialist Workers Party,ARCHULETA,Alyson Kennedy / Osborne Hart,0,0.00%,,
President/Vice President,Socialist Workers Party,BACA,Alyson Kennedy / Osborne Hart,1,0.00%,,
President/Vice President,Socialist Workers Party,BENT,Alyson Kennedy / Osborne Hart,0,0.00%,,
President/Vice President,Socialist Workers Party,BOULDER,Alyson Kennedy / Osborne Hart,32,0.00%,,
President/Vice President,Socialist Workers Party,BROOMFIELD,Alyson Kennedy / Osborne Hart,8,0.00%,,
President/Vice President,Socialist Workers Party,CHAFFEE,Alyson Kennedy / Osborne Hart,4,0.00%,,
President/Vice President,Socialist Workers Party,CHEYENNE,Alyson Kennedy / Osborne Hart,0,0.00%,,
President/Vice President,Socialist Workers Party,CLEAR CREEK,Alyson Kennedy / Osborne Hart,0,0.00%,,
President/Vice President,Socialist Workers Party,CONEJOS,Alyson Kennedy / Osborne Hart,0,0.00%,,
President/Vice President,Socialist Workers Party,COSTILLA,Alyson Kennedy / Osborne Hart,0,0.00%,,
President/Vice President,Socialist Workers Party,CROWLEY,Alyson Kennedy / Osborne Hart,0,0.00%,,
President/Vice President,Socialist Workers Party,CUSTER,Alyson Kennedy / Osborne Hart,0,0.00%,,
President/Vice President,Socialist Workers Party,DELTA,Alyson Kennedy / Osborne Hart,8,0.00%,,
President/Vice President,Socialist Workers Party,DENVER,Alyson Kennedy / Osborne Hart,62,0.00%,,
President/Vice President,Socialist Workers Party,DOLORES,Alyson Kennedy / Osborne Hart,0,0.00%,,
President/Vice President,Socialist Workers Party,DOUGLAS,Alyson Kennedy / Osborne Hart,13,0.00%,,
President/Vice President,Socialist Workers Party,EAGLE,Alyson Kennedy / Osborne Hart,7,0.00%,,
President/Vice President,Socialist Workers Party,ELBERT,Alyson Kennedy / Osborne Hart,3,0.00%,,
President/Vice President,Socialist Workers Party,EL PASO,Alyson Kennedy / Osborne Hart,40,0.00%,,
President/Vice President,Socialist Workers Party,FREMONT,Alyson Kennedy / Osborne Hart,2,0.00%,,
President/Vice President,Socialist Workers Party,GARFIELD,Alyson Kennedy / Osborne Hart,2,0.00%,,
President/Vice President,Socialist Workers Party,GILPIN,Alyson Kennedy / Osborne Hart,1,0.00%,,
President/Vice President,Socialist Workers Party,GRAND,Alyson Kennedy / Osborne Hart,0,0.00%,,
President/Vice President,Socialist Workers Party,GUNNISON,Alyson Kennedy / Osborne Hart,3,0.00%,,
President/Vice President,Socialist Workers Party,HINSDALE,Alyson Kennedy / Osborne Hart,0,0.00%,,
President/Vice President,Socialist Workers Party,HUERFANO,Alyson Kennedy / Osborne Hart,0,0.00%,,
President/Vice President,Socialist Workers Party,JACKSON,Alyson Kennedy / Osborne Hart,0,0.00%,,
President/Vice President,Socialist Workers Party,JEFFERSON,Alyson Kennedy / Osborne Hart,51,0.00%,,
President/Vice President,Socialist Workers Party,KIOWA,Alyson Kennedy / Osborne Hart,0,0.00%,,
President/Vice President,Socialist Workers Party,KIT CARSON,Alyson Kennedy / Osborne Hart,1,0.00%,,
President/Vice President,Socialist Workers Party,LAKE,Alyson Kennedy / Osborne Hart,0,0.00%,,
President/Vice President,Socialist Workers Party,LA PLATA,Alyson Kennedy / Osborne Hart,3,0.00%,,
President/Vice President,Socialist Workers Party,LARIMER,Alyson Kennedy / Osborne Hart,29,0.00%,,
President/Vice President,Socialist Workers Party,LAS ANIMAS,Alyson Kennedy / Osborne Hart,2,0.00%,,
President/Vice President,Socialist Workers Party,LINCOLN,Alyson Kennedy / Osborne Hart,0,0.00%,,
President/Vice President,Socialist Workers Party,LOGAN,Alyson Kennedy / Osborne Hart,3,0.00%,,
President/Vice President,Socialist Workers Party,MESA,Alyson Kennedy / Osborne Hart,10,0.00%,,
President/Vice President,Socialist Workers Party,MINERAL,Alyson Kennedy / Osborne Hart,0,0.00%,,
President/Vice President,Socialist Workers Party,MOFFAT,Alyson Kennedy / Osborne Hart,1,0.00%,,
President/Vice President,Socialist Workers Party,MONTEZUMA,Alyson Kennedy / Osborne Hart,5,0.00%,,
President/Vice President,Socialist Workers Party,MONTROSE,Alyson Kennedy / Osborne Hart,15,0.00%,,
President/Vice President,Socialist Workers Party,MORGAN,Alyson Kennedy / Osborne Hart,1,0.00%,,
President/Vice President,Socialist Workers Party,OTERO,Alyson Kennedy / Osborne Hart,0,0.00%,,
President/Vice President,Socialist Workers Party,OURAY,Alyson Kennedy / Osborne Hart,0,0.00%,,
President/Vice President,Socialist Workers Party,PARK,Alyson Kennedy / Osborne Hart,2,0.00%,,
President/Vice President,Socialist Workers Party,PHILLIPS,Alyson Kennedy / Osborne Hart,0,0.00%,,
President/Vice President,Socialist Workers Party,PITKIN,Alyson Kennedy / Osborne Hart,1,0.00%,,
President/Vice President,Socialist Workers Party,PROWERS,Alyson Kennedy / Osborne Hart,1,0.00%,,
President/Vice President,Socialist Workers Party,PUEBLO,Alyson Kennedy / Osborne Hart,28,0.00%,,
President/Vice President,Socialist Workers Party,RIO BLANCO,Alyson Kennedy / Osborne Hart,1,0.00%,,
President/Vice President,Socialist Workers Party,RIO GRANDE,Alyson Kennedy / Osborne Hart,0,0.00%,,
President/Vice President,Socialist Workers Party,ROUTT,Alyson Kennedy / Osborne Hart,3,0.00%,,
President/Vice President,Socialist Workers Party,SAGUACHE,Alyson Kennedy / Osborne Hart,0,0.00%,,
President/Vice President,Socialist Workers Party,SAN JUAN,Alyson Kennedy / Osborne Hart,0,0.00%,,
President/Vice President,Socialist Workers Party,SAN MIGUEL,Alyson Kennedy / Osborne Hart,0,0.00%,,
President/Vice President,Socialist Workers Party,SEDGWICK,Alyson Kennedy / Osborne Hart,1,0.00%,,
