Office/Ballot Issue,Party,County,Candidate/Judge/Ballot Issue Title,Yes Votes/Percentage,No Votes/Percentage
President/Vice President,Socialist Equality Party,SEDGWICK,Joseph Kishore / Norissa Santa Cruz,0,
President/Vice President,Socialist Equality Party,SUMMIT,Joseph Kishore / Norissa Santa Cruz,1,
President/Vice President,Socialist Equality Party,TELLER,Joseph Kishore / Norissa Santa Cruz,2,
President/Vice President,Socialist Equality Party,WASHINGTON,Joseph Kishore / Norissa Santa Cruz,0,
President/Vice President,Socialist Equality Party,WELD,Joseph Kishore / Norissa Santa Cruz,7,
President/Vice President,Socialist Equality Party,YUMA,Joseph Kishore / Norissa Santa Cruz,2,
President/Vice President,Socialist Equality Party,,Joseph Kishore / Norissa Santa Cruz Total Votes,196,
President/Vice President,Socialist Equality Party,,Joseph Kishore / Norissa Santa Cruz Vote %,0.01%,
President/Vice President,Independent American Party,ADAMS,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,102,
President/Vice President,Independent American Party,ALAMOSA,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,3,
President/Vice President,Independent American Party,ARAPAHOE,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,94,
President/Vice President,Independent American Party,ARCHULETA,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,2,
President/Vice President,Independent American Party,BACA,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,0,
President/Vice President,Independent American Party,BENT,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,0,
President/Vice President,Independent American Party,BOULDER,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,22,
President/Vice President,Independent American Party,BROOMFIELD,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,10,
President/Vice President,Independent American Party,CHAFFEE,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,3,
President/Vice President,Independent American Party,CHEYENNE,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,0,
President/Vice President,Independent American Party,CLEAR CREEK,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,1,
President/Vice President,Independent American Party,CONEJOS,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,0,
President/Vice President,Independent American Party,COSTILLA,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,1,
President/Vice President,Independent American Party,CROWLEY,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,0,
President/Vice President,Independent American Party,CUSTER,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,0,
President/Vice President,Independent American Party,DELTA,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,7,
President/Vice President,Independent American Party,DENVER,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,70,
President/Vice President,Independent American Party,DOLORES,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,0,
President/Vice President,Independent American Party,DOUGLAS,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,38,
President/Vice President,Independent American Party,EAGLE,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,5,
President/Vice President,Independent American Party,ELBERT,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,4,
President/Vice President,Independent American Party,EL PASO,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,87,
President/Vice President,Independent American Party,FREMONT,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,5,
President/Vice President,Independent American Party,GARFIELD,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,8,
President/Vice President,Independent American Party,GILPIN,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,1,
President/Vice President,Independent American Party,GRAND,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,3,
President/Vice President,Independent American Party,GUNNISON,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,0,
President/Vice President,Independent American Party,HINSDALE,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,0,
President/Vice President,Independent American Party,HUERFANO,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,0,
President/Vice President,Independent American Party,JACKSON,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,0,
President/Vice President,Independent American Party,JEFFERSON,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,101,
President/Vice President,Independent American Party,KIOWA,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,0,
President/Vice President,Independent American Party,KIT CARSON,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,1,
President/Vice President,Independent American Party,LAKE,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,1,
President/Vice President,Independent American Party,LA PLATA,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,9,
President/Vice President,Independent American Party,LARIMER,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,48,
President/Vice President,Independent American Party,LAS ANIMAS,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,6,
President/Vice President,Independent American Party,LINCOLN,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,2,
President/Vice President,Independent American Party,LOGAN,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,0,
President/Vice President,Independent American Party,MESA,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,15,
President/Vice President,Independent American Party,MINERAL,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,0,
President/Vice President,Independent American Party,MOFFAT,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,1,
President/Vice President,Independent American Party,MONTEZUMA,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,6,
President/Vice President,Independent American Party,MONTROSE,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,4,
President/Vice President,Independent American Party,MORGAN,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,2,
President/Vice President,Independent American Party,OTERO,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,4,
President/Vice President,Independent American Party,OURAY,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,0,
President/Vice President,Independent American Party,PARK,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,2,
President/Vice President,Independent American Party,PHILLIPS,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,0,
President/Vice President,Independent American Party,PITKIN,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,3,
President/Vice President,Independent American Party,PROWERS,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,4,
President/Vice President,Independent American Party,PUEBLO,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,21,
President/Vice President,Independent American Party,RIO BLANCO,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,0,
President/Vice President,Independent American Party,RIO GRANDE,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,3,
President/Vice President,Independent American Party,ROUTT,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,1,
President/Vice President,Independent American Party,SAGUACHE,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,1,
President/Vice President,Independent American Party,SAN JUAN,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,1,
President/Vice President,Independent American Party,SAN MIGUEL,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,0,
President/Vice President,Independent American Party,SEDGWICK,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,0,
President/Vice President,Independent American Party,SUMMIT,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,0,
President/Vice President,Independent American Party,TELLER,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,6,
President/Vice President,Independent American Party,WASHINGTON,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,1,
President/Vice President,Independent American Party,WELD,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,51,
President/Vice President,Independent American Party,YUMA,Kyle Kenley Kopitke / Nathan Re Vo Sorenson,2,
President/Vice President,Independent American Party,,Kyle Kenley Kopitke / Nathan Re Vo Sorenson Total Votes,762,
President/Vice President,Independent American Party,,Kyle Kenley Kopitke / Nathan Re Vo Sorenson Vote %,0.02%,
President/Vice President,Socialism and Liberation,ADAMS,Gloria La Riva / Sunil Freeman,90,
President/Vice President,Socialism and Liberation,ALAMOSA,Gloria La Riva / Sunil Freeman,3,
President/Vice President,Socialism and Liberation,ARAPAHOE,Gloria La Riva / Sunil Freeman,118,
President/Vice President,Socialism and Liberation,ARCHULETA,Gloria La Riva / Sunil Freeman,2,
President/Vice President,Socialism and Liberation,BACA,Gloria La Riva / Sunil Freeman,0,
President/Vice President,Socialism and Liberation,BENT,Gloria La Riva / Sunil Freeman,0,
President/Vice President,Socialism and Liberation,BOULDER,Gloria La Riva / Sunil Freeman,103,
President/Vice President,Socialism and Liberation,BROOMFIELD,Gloria La Riva / Sunil Freeman,14,
President/Vice President,Socialism and Liberation,CHAFFEE,Gloria La Riva / Sunil Freeman,2,
President/Vice President,Socialism and Liberation,CHEYENNE,Gloria La Riva / Sunil Freeman,0,
President/Vice President,Socialism and Liberation,CLEAR CREEK,Gloria La Riva / Sunil Freeman,2,
President/Vice President,Socialism and Liberation,CONEJOS,Gloria La Riva / Sunil Freeman,2,
President/Vice President,Socialism and Liberation,COSTILLA,Gloria La Riva / Sunil Freeman,1,
President/Vice President,Socialism and Liberation,CROWLEY,Gloria La Riva / Sunil Freeman,0,
President/Vice President,Socialism and Liberation,CUSTER,Gloria La Riva / Sunil Freeman,0,
President/Vice President,Socialism and Liberation,DELTA,Gloria La Riva / Sunil Freeman,2,
President/Vice President,Socialism and Liberation,DENVER,Gloria La Riva / Sunil Freeman,287,
President/Vice President,Socialism and Liberation,DOLORES,Gloria La Riva / Sunil Freeman,0,
President/Vice President,Socialism and Liberation,DOUGLAS,Gloria La Riva / Sunil Freeman,30,
President/Vice President,Socialism and Liberation,EAGLE,Gloria La Riva / Sunil Freeman,3,
President/Vice President,Socialism and Liberation,ELBERT,Gloria La Riva / Sunil Freeman,4,
President/Vice President,Socialism and Liberation,EL PASO,Gloria La Riva / Sunil Freeman,90,
President/Vice President,Socialism and Liberation,FREMONT,Gloria La Riva / Sunil Freeman,5,
President/Vice President,Socialism and Liberation,GARFIELD,Gloria La Riva / Sunil Freeman,3,
President/Vice President,Socialism and Liberation,GILPIN,Gloria La Riva / Sunil Freeman,1,
President/Vice President,Socialism and Liberation,GRAND,Gloria La Riva / Sunil Freeman,0,
President/Vice President,Socialism and Liberation,GUNNISON,Gloria La Riva / Sunil Freeman,1,
President/Vice President,Socialism and Liberation,HINSDALE,Gloria La Riva / Sunil Freeman,0,
President/Vice President,Socialism and Liberation,HUERFANO,Gloria La Riva / Sunil Freeman,2,
President/Vice President,Socialism and Liberation,JACKSON,Gloria La Riva / Sunil Freeman,0,
President/Vice President,Socialism and Liberation,JEFFERSON,Gloria La Riva / Sunil Freeman,84,
President/Vice President,Socialism and Liberation,KIOWA,Gloria La Riva / Sunil Freeman,0,
President/Vice President,Socialism and Liberation,KIT CARSON,Gloria La Riva / Sunil Freeman,0,
President/Vice President,Socialism and Liberation,LAKE,Gloria La Riva / Sunil Freeman,1,
President/Vice President,Socialism and Liberation,LA PLATA,Gloria La Riva / Sunil Freeman,5,
President/Vice President,Socialism and Liberation,LARIMER,Gloria La Riva / Sunil Freeman,60,
President/Vice President,Socialism and Liberation,LAS ANIMAS,Gloria La Riva / Sunil Freeman,1,
President/Vice President,Socialism and Liberation,LINCOLN,Gloria La Riva / Sunil Freeman,0,
President/Vice President,Socialism and Liberation,LOGAN,Gloria La Riva / Sunil Freeman,1,
President/Vice President,Socialism and Liberation,MESA,Gloria La Riva / Sunil Freeman,15,
President/Vice President,Socialism and Liberation,MINERAL,Gloria La Riva / Sunil Freeman,0,
President/Vice President,Socialism and Liberation,MOFFAT,Gloria La Riva / Sunil Freeman,0,
President/Vice President,Socialism and Liberation,MONTEZUMA,Gloria La Riva / Sunil Freeman,2,
President/Vice President,Socialism and Liberation,MONTROSE,Gloria La Riva / Sunil Freeman,2,
President/Vice President,Socialism and Liberation,MORGAN,Gloria La Riva / Sunil Freeman,2,
President/Vice President,Socialism and Liberation,OTERO,Gloria La Riva / Sunil Freeman,2,
President/Vice President,Socialism and Liberation,OURAY,Gloria La Riva / Sunil Freeman,3,
President/Vice President,Socialism and Liberation,PARK,Gloria La Riva / Sunil Freeman,1,
President/Vice President,Socialism and Liberation,PHILLIPS,Gloria La Riva / Sunil Freeman,0,
President/Vice President,Socialism and Liberation,PITKIN,Gloria La Riva / Sunil Freeman,0,
President/Vice President,Socialism and Liberation,PROWERS,Gloria La Riva / Sunil Freeman,1,
President/Vice President,Socialism and Liberation,PUEBLO,Gloria La Riva / Sunil Freeman,32,
President/Vice President,Socialism and Liberation,RIO BLANCO,Gloria La Riva / Sunil Freeman,0,
President/Vice President,Socialism and Liberation,RIO GRANDE,Gloria La Riva / Sunil Freeman,4,
President/Vice President,Socialism and Liberation,ROUTT,Gloria La Riva / Sunil Freeman,2,
President/Vice President,Socialism and Liberation,SAGUACHE,Gloria La Riva / Sunil Freeman,1,
President/Vice President,Socialism and Liberation,SAN JUAN,Gloria La Riva / Sunil Freeman,1,
President/Vice President,Socialism and Liberation,SAN MIGUEL,Gloria La Riva / Sunil Freeman,1,
President/Vice President,Socialism and Liberation,SEDGWICK,Gloria La Riva / Sunil Freeman,0,
President/Vice President,Socialism and Liberation,SUMMIT,Gloria La Riva / Sunil Freeman,3,
President/Vice President,Socialism and Liberation,TELLER,Gloria La Riva / Sunil Freeman,2,
President/Vice President,Socialism and Liberation,WASHINGTON,Gloria La Riva / Sunil Freeman,0,
President/Vice President,Socialism and Liberation,WELD,Gloria La Riva / Sunil Freeman,44,
President/Vice President,Socialism and Liberation,YUMA,Gloria La Riva / Sunil Freeman,0,
President/Vice President,Socialism and Liberation,,Gloria La Riva / Sunil Freeman Total Votes,"1,035",
President/Vice President,Socialism and Liberation,,Gloria La Riva / Sunil Freeman Vote %,0.03%,
President/Vice President,Unaffiliated,ADAMS,Joe McHugh / Elizabeth Storm,60,
President/Vice President,Unaffiliated,ALAMOSA,Joe McHugh / Elizabeth Storm,4,
President/Vice President,Unaffiliated,ARAPAHOE,Joe McHugh / Elizabeth Storm,58,
President/Vice President,Unaffiliated,ARCHULETA,Joe McHugh / Elizabeth Storm,2,
President/Vice President,Unaffiliated,BACA,Joe McHugh / Elizabeth Storm,0,
President/Vice President,Unaffiliated,BENT,Joe McHugh / Elizabeth Storm,0,
President/Vice President,Unaffiliated,BOULDER,Joe McHugh / Elizabeth Storm,20,
President/Vice President,Unaffiliated,BROOMFIELD,Joe McHugh / Elizabeth Storm,13,
President/Vice President,Unaffiliated,CHAFFEE,Joe McHugh / Elizabeth Storm,3,
President/Vice President,Unaffiliated,CHEYENNE,Joe McHugh / Elizabeth Storm,0,
President/Vice President,Unaffiliated,CLEAR CREEK,Joe McHugh / Elizabeth Storm,3,
President/Vice President,Unaffiliated,CONEJOS,Joe McHugh / Elizabeth Storm,2,
President/Vice President,Unaffiliated,COSTILLA,Joe McHugh / Elizabeth Storm,0,
President/Vice President,Unaffiliated,CROWLEY,Joe McHugh / Elizabeth Storm,1,
President/Vice President,Unaffiliated,CUSTER,Joe McHugh / Elizabeth Storm,1,
President/Vice President,Unaffiliated,DELTA,Joe McHugh / Elizabeth Storm,4,
President/Vice President,Unaffiliated,DENVER,Joe McHugh / Elizabeth Storm,34,
President/Vice President,Unaffiliated,DOLORES,Joe McHugh / Elizabeth Storm,2,
President/Vice President,Unaffiliated,DOUGLAS,Joe McHugh / Elizabeth Storm,38,
President/Vice President,Unaffiliated,EAGLE,Joe McHugh / Elizabeth Storm,3,
President/Vice President,Unaffiliated,ELBERT,Joe McHugh / Elizabeth Storm,4,
President/Vice President,Unaffiliated,EL PASO,Joe McHugh / Elizabeth Storm,89,
President/Vice President,Unaffiliated,FREMONT,Joe McHugh / Elizabeth Storm,5,
President/Vice President,Unaffiliated,GARFIELD,Joe McHugh / Elizabeth Storm,4,
President/Vice President,Unaffiliated,GILPIN,Joe McHugh / Elizabeth Storm,1,
President/Vice President,Unaffiliated,GRAND,Joe McHugh / Elizabeth Storm,2,
President/Vice President,Unaffiliated,GUNNISON,Joe McHugh / Elizabeth Storm,1,
President/Vice President,Unaffiliated,HINSDALE,Joe McHugh / Elizabeth Storm,0,
President/Vice President,Unaffiliated,HUERFANO,Joe McHugh / Elizabeth Storm,1,
President/Vice President,Unaffiliated,JACKSON,Joe McHugh / Elizabeth Storm,0,
President/Vice President,Unaffiliated,JEFFERSON,Joe McHugh / Elizabeth Storm,76,
President/Vice President,Unaffiliated,KIOWA,Joe McHugh / Elizabeth Storm,0,
President/Vice President,Unaffiliated,KIT CARSON,Joe McHugh / Elizabeth Storm,2,
President/Vice President,Unaffiliated,LAKE,Joe McHugh / Elizabeth Storm,0,
President/Vice President,Unaffiliated,LA PLATA,Joe McHugh / Elizabeth Storm,5,
President/Vice President,Unaffiliated,LARIMER,Joe McHugh / Elizabeth Storm,45,
President/Vice President,Unaffiliated,LAS ANIMAS,Joe McHugh / Elizabeth Storm,3,
President/Vice President,Unaffiliated,LINCOLN,Joe McHugh / Elizabeth Storm,0,
President/Vice President,Unaffiliated,LOGAN,Joe McHugh / Elizabeth Storm,2,
President/Vice President,Unaffiliated,MESA,Joe McHugh / Elizabeth Storm,16,
President/Vice President,Unaffiliated,MINERAL,Joe McHugh / Elizabeth Storm,0,
President/Vice President,Unaffiliated,MOFFAT,Joe McHugh / Elizabeth Storm,2,
President/Vice President,Unaffiliated,MONTEZUMA,Joe McHugh / Elizabeth Storm,2,
President/Vice President,Unaffiliated,MONTROSE,Joe McHugh / Elizabeth Storm,2,
President/Vice President,Unaffiliated,MORGAN,Joe McHugh / Elizabeth Storm,6,
President/Vice President,Unaffiliated,OTERO,Joe McHugh / Elizabeth Storm,1,
President/Vice President,Unaffiliated,OURAY,Joe McHugh / Elizabeth Storm,1,
President/Vice President,Unaffiliated,PARK,Joe McHugh / Elizabeth Storm,3,
President/Vice President,Unaffiliated,PHILLIPS,Joe McHugh / Elizabeth Storm,0,
President/Vice President,Unaffiliated,PITKIN,Joe McHugh / Elizabeth Storm,0,
President/Vice President,Unaffiliated,PROWERS,Joe McHugh / Elizabeth Storm,2,
President/Vice President,Unaffiliated,PUEBLO,Joe McHugh / Elizabeth Storm,25,
President/Vice President,Unaffiliated,RIO BLANCO,Joe McHugh / Elizabeth Storm,2,
President/Vice President,Unaffiliated,RIO GRANDE,Joe McHugh / Elizabeth Storm,3,
President/Vice President,Unaffiliated,ROUTT,Joe McHugh / Elizabeth Storm,0,
President/Vice President,Unaffiliated,SAGUACHE,Joe McHugh / Elizabeth Storm,0,
President/Vice President,Unaffiliated,SAN JUAN,Joe McHugh / Elizabeth Storm,1,
President/Vice President,Unaffiliated,SAN MIGUEL,Joe McHugh / Elizabeth Storm,1,
President/Vice President,Unaffiliated,SEDGWICK,Joe McHugh / Elizabeth Storm,0,
President/Vice President,Unaffiliated,SUMMIT,Joe McHugh / Elizabeth Storm,4,
President/Vice President,Unaffiliated,TELLER,Joe McHugh / Elizabeth Storm,7,
President/Vice President,Unaffiliated,WASHINGTON,Joe McHugh / Elizabeth Storm,0,
President/Vice President,Unaffiliated,WELD,Joe McHugh / Elizabeth Storm,45,
President/Vice President,Unaffiliated,YUMA,Joe McHugh / Elizabeth Storm,3,
President/Vice President,Unaffiliated,,Joe McHugh / Elizabeth Storm Total Votes,614,
President/Vice President,Unaffiliated,,Joe McHugh / Elizabeth Storm Vote %,0.02%,
President/Vice President,Unaffiliated,ADAMS,Brock Pierce / Karla Ballard,51,
President/Vice President,Unaffiliated,ALAMOSA,Brock Pierce / Karla Ballard,3,
President/Vice President,Unaffiliated,ARAPAHOE,Brock Pierce / Karla Ballard,45,
President/Vice President,Unaffiliated,ARCHULETA,Brock Pierce / Karla Ballard,5,
President/Vice President,Unaffiliated,BACA,Brock Pierce / Karla Ballard,0,
President/Vice President,Unaffiliated,BENT,Brock Pierce / Karla Ballard,1,
President/Vice President,Unaffiliated,BOULDER,Brock Pierce / Karla Ballard,33,
President/Vice President,Unaffiliated,BROOMFIELD,Brock Pierce / Karla Ballard,13,
President/Vice President,Unaffiliated,CHAFFEE,Brock Pierce / Karla Ballard,1,
President/Vice President,Unaffiliated,CHEYENNE,Brock Pierce / Karla Ballard,0,
President/Vice President,Unaffiliated,CLEAR CREEK,Brock Pierce / Karla Ballard,0,
President/Vice President,Unaffiliated,CONEJOS,Brock Pierce / Karla Ballard,0,
President/Vice President,Unaffiliated,COSTILLA,Brock Pierce / Karla Ballard,0,
President/Vice President,Unaffiliated,CROWLEY,Brock Pierce / Karla Ballard,0,
President/Vice President,Unaffiliated,CUSTER,Brock Pierce / Karla Ballard,0,
President/Vice President,Unaffiliated,DELTA,Brock Pierce / Karla Ballard,5,
President/Vice President,Unaffiliated,DENVER,Brock Pierce / Karla Ballard,60,
President/Vice President,Unaffiliated,DOLORES,Brock Pierce / Karla Ballard,0,
President/Vice President,Unaffiliated,DOUGLAS,Brock Pierce / Karla Ballard,39,
President/Vice President,Unaffiliated,EAGLE,Brock Pierce / Karla Ballard,6,
President/Vice President,Unaffiliated,ELBERT,Brock Pierce / Karla Ballard,4,
President/Vice President,Unaffiliated,EL PASO,Brock Pierce / Karla Ballard,69,
President/Vice President,Unaffiliated,FREMONT,Brock Pierce / Karla Ballard,6,
President/Vice President,Unaffiliated,GARFIELD,Brock Pierce / Karla Ballard,7,
President/Vice President,Unaffiliated,GILPIN,Brock Pierce / Karla Ballard,1,
President/Vice President,Unaffiliated,GRAND,Brock Pierce / Karla Ballard,0,
President/Vice President,Unaffiliated,GUNNISON,Brock Pierce / Karla Ballard,5,
President/Vice President,Unaffiliated,HINSDALE,Brock Pierce / Karla Ballard,0,
President/Vice President,Unaffiliated,HUERFANO,Brock Pierce / Karla Ballard,0,
President/Vice President,Unaffiliated,JACKSON,Brock Pierce / Karla Ballard,0,
President/Vice President,Unaffiliated,JEFFERSON,Brock Pierce / Karla Ballard,82,
President/Vice President,Unaffiliated,KIOWA,Brock Pierce / Karla Ballard,0,
President/Vice President,Unaffiliated,KIT CARSON,Brock Pierce / Karla Ballard,2,
President/Vice President,Unaffiliated,LAKE,Brock Pierce / Karla Ballard,0,
President/Vice President,Unaffiliated,LA PLATA,Brock Pierce / Karla Ballard,2,
President/Vice President,Unaffiliated,LARIMER,Brock Pierce / Karla Ballard,33,
President/Vice President,Unaffiliated,LAS ANIMAS,Brock Pierce / Karla Ballard,0,
President/Vice President,Unaffiliated,LINCOLN,Brock Pierce / Karla Ballard,1,
President/Vice President,Unaffiliated,LOGAN,Brock Pierce / Karla Ballard,1,
President/Vice President,Unaffiliated,MESA,Brock Pierce / Karla Ballard,15,
President/Vice President,Unaffiliated,MINERAL,Brock Pierce / Karla Ballard,1,
President/Vice President,Unaffiliated,MOFFAT,Brock Pierce / Karla Ballard,4,
President/Vice President,Unaffiliated,MONTEZUMA,Brock Pierce / Karla Ballard,2,
President/Vice President,Unaffiliated,MONTROSE,Brock Pierce / Karla Ballard,3,
President/Vice President,Unaffiliated,MORGAN,Brock Pierce / Karla Ballard,2,
President/Vice President,Unaffiliated,OTERO,Brock Pierce / Karla Ballard,1,
President/Vice President,Unaffiliated,OURAY,Brock Pierce / Karla Ballard,0,
President/Vice President,Unaffiliated,PARK,Brock Pierce / Karla Ballard,2,
President/Vice President,Unaffiliated,PHILLIPS,Brock Pierce / Karla Ballard,0,
President/Vice President,Unaffiliated,PITKIN,Brock Pierce / Karla Ballard,0,
President/Vice President,Unaffiliated,PROWERS,Brock Pierce / Karla Ballard,0,
President/Vice President,Unaffiliated,PUEBLO,Brock Pierce / Karla Ballard,23,
President/Vice President,Unaffiliated,RIO BLANCO,Brock Pierce / Karla Ballard,0,
President/Vice President,Unaffiliated,RIO GRANDE,Brock Pierce / Karla Ballard,1,
President/Vice President,Unaffiliated,ROUTT,Brock Pierce / Karla Ballard,4,
President/Vice President,Unaffiliated,SAGUACHE,Brock Pierce / Karla Ballard,0,
President/Vice President,Unaffiliated,SAN JUAN,Brock Pierce / Karla Ballard,0,
President/Vice President,Unaffiliated,SAN MIGUEL,Brock Pierce / Karla Ballard,1,
President/Vice President,Unaffiliated,SEDGWICK,Brock Pierce / Karla Ballard,1,
President/Vice President,Unaffiliated,SUMMIT,Brock Pierce / Karla Ballard,3,
President/Vice President,Unaffiliated,TELLER,Brock Pierce / Karla Ballard,2,
President/Vice President,Unaffiliated,WASHINGTON,Brock Pierce / Karla Ballard,0,
President/Vice President,Unaffiliated,WELD,Brock Pierce / Karla Ballard,32,
President/Vice President,Unaffiliated,YUMA,Brock Pierce / Karla Ballard,0,
President/Vice President,Unaffiliated,,Brock Pierce / Karla Ballard Total Votes,572,
President/Vice President,Unaffiliated,,Brock Pierce / Karla Ballard Vote %,0.02%,
President/Vice President,Unaffiliated,ADAMS,"Jordan ""Cancer"" Scott / Jennifer Tepool",23,
President/Vice President,Unaffiliated,ALAMOSA,"Jordan ""Cancer"" Scott / Jennifer Tepool",0,
President/Vice President,Unaffiliated,ARAPAHOE,"Jordan ""Cancer"" Scott / Jennifer Tepool",17,
President/Vice President,Unaffiliated,ARCHULETA,"Jordan ""Cancer"" Scott / Jennifer Tepool",0,
President/Vice President,Unaffiliated,BACA,"Jordan ""Cancer"" Scott / Jennifer Tepool",0,
President/Vice President,Unaffiliated,BENT,"Jordan ""Cancer"" Scott / Jennifer Tepool",0,
President/Vice President,Unaffiliated,BOULDER,"Jordan ""Cancer"" Scott / Jennifer Tepool",7,
President/Vice President,Unaffiliated,BROOMFIELD,"Jordan ""Cancer"" Scott / Jennifer Tepool",4,
President/Vice President,Unaffiliated,CHAFFEE,"Jordan ""Cancer"" Scott / Jennifer Tepool",1,
President/Vice President,Unaffiliated,CHEYENNE,"Jordan ""Cancer"" Scott / Jennifer Tepool",0,
President/Vice President,Unaffiliated,CLEAR CREEK,"Jordan ""Cancer"" Scott / Jennifer Tepool",0,
President/Vice President,Unaffiliated,CONEJOS,"Jordan ""Cancer"" Scott / Jennifer Tepool",0,
President/Vice President,Unaffiliated,COSTILLA,"Jordan ""Cancer"" Scott / Jennifer Tepool",0,
President/Vice President,Unaffiliated,CROWLEY,"Jordan ""Cancer"" Scott / Jennifer Tepool",0,
President/Vice President,Unaffiliated,CUSTER,"Jordan ""Cancer"" Scott / Jennifer Tepool",0,
President/Vice President,Unaffiliated,DELTA,"Jordan ""Cancer"" Scott / Jennifer Tepool",1,
President/Vice President,Unaffiliated,DENVER,"Jordan ""Cancer"" Scott / Jennifer Tepool",16,
President/Vice President,Unaffiliated,DOLORES,"Jordan ""Cancer"" Scott / Jennifer Tepool",0,
President/Vice President,Unaffiliated,DOUGLAS,"Jordan ""Cancer"" Scott / Jennifer Tepool",9,
President/Vice President,Unaffiliated,EAGLE,"Jordan ""Cancer"" Scott / Jennifer Tepool",0,
President/Vice President,Unaffiliated,ELBERT,"Jordan ""Cancer"" Scott / Jennifer Tepool",1,
President/Vice President,Unaffiliated,EL PASO,"Jordan ""Cancer"" Scott / Jennifer Tepool",33,
President/Vice President,Unaffiliated,FREMONT,"Jordan ""Cancer"" Scott / Jennifer Tepool",0,
President/Vice President,Unaffiliated,GARFIELD,"Jordan ""Cancer"" Scott / Jennifer Tepool",0,
President/Vice President,Unaffiliated,GILPIN,"Jordan ""Cancer"" Scott / Jennifer Tepool",1,
President/Vice President,Unaffiliated,GRAND,"Jordan ""Cancer"" Scott / Jennifer Tepool",1,
President/Vice President,Unaffiliated,GUNNISON,"Jordan ""Cancer"" Scott / Jennifer Tepool",0,
President/Vice President,Unaffiliated,HINSDALE,"Jordan ""Cancer"" Scott / Jennifer Tepool",0,
President/Vice President,Unaffiliated,HUERFANO,"Jordan ""Cancer"" Scott / Jennifer Tepool",0,
President/Vice President,Unaffiliated,JACKSON,"Jordan ""Cancer"" Scott / Jennifer Tepool",0,
President/Vice President,Unaffiliated,JEFFERSON,"Jordan ""Cancer"" Scott / Jennifer Tepool",16,
